4	0	zwei	1	0.344818115234375	test
4	0	eins	2	0.33970940113067627	test
16	0	zwei	3	0.344818115234375	test
16	0	eins	4	0.33970940113067627	test
17	0	vier	5	0.5474534630775452	test
22	0	zwei	6	0.344818115234375	test
22	0	eins	7	0.33970940113067627	test
23	0	zwei	8	0.344818115234375	test
23	0	eins	9	0.33970940113067627	test
30	0	eins	10	0.5883939266204834	test
30	0	drei	11	0.42231422662734985	test
36	0	drei	12	0.42231422662734985	test
36	0	zwei	13	0.344818115234375	test
39	0	sieben	14	0.6888638138771057	test
