4	0	zwei.txt	1	0.344818115234375	test
4	0	eins.txt	2	0.33970940113067627	test
16	0	zwei.txt	3	0.344818115234375	test
16	0	eins.txt	4	0.33970940113067627	test
17	0	vier.txt	5	0.5474534630775452	test
22	0	zwei.txt	6	0.344818115234375	test
22	0	eins.txt	7	0.33970940113067627	test
23	0	zwei.txt	8	0.344818115234375	test
23	0	eins.txt	9	0.33970940113067627	test
30	0	eins.txt	10	0.5883939266204834	test
30	0	drei.txt	11	0.42231422662734985	test
36	0	drei.txt	12	0.42231422662734985	test
36	0	zwei.txt	13	0.344818115234375	test
39	0	sieben.txt	14	0.6888638138771057	test
